,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
27,Yeouido Station,0주,오투테라스,오투타워,02terrace,02tower,여의도맛집,여의도점심,여의도데이트,여의도회식,여의도역맛집,여의도모임,먹스타그램,맛스타그램,여의도,여의도탭퍼블릭,탭퍼블릭,수제맥주,다이닝펍,피자,피맥,버거,여의도맥주,여의도술집,,,,,,,,,,
28,Yeouido Station,0주,중식당,차이나플레인,짜장면,짜장면맛집,짬뽕,짬뽕맛집,탕수육,탕수육맛집,코스요리,회식장소,데이트맛집,가족행사,상견례,성수동맛집,성수역맛집,성수동카페,서울숲맛집,서울숲카페,뚝섬역맛집,여의도맛집,여의도역맛집,문정맛집,문정역맛집,백일상,소규모돌잔치,돌잔치,칠순,칠순잔치,,,,
29,Yeouido Station,0주,진주집,콩국수맛집,여의도맛집,이영자맛집,맛집로드,콩국수찐맛집,여의도맛집추천,여의도술집,여의도데이트,여의도역맛집,여의도역술집,여의도역데이트,,,,,,,,,,,,,,,,,,,,
30,Yeouido Station,0주,여의도한정식,여의도맛집,단아,여의도역맛집,두부사합,명란바삭감자전,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Yeouido Station,0주,캘리포니아와인,가성비와인,롱반피노누아,회식맛집,데이트맛집,여의도한강공원맛집,회식,와인주막차차,,,,,,,,,,,,,,,,,,,,,,,,
32,Yeouido Station,0주,여의도,스시아라타,애미야아리타,배터지기일보직전,물고기들어온다,노젖기운동,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yeouido Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
34,Yeouido Station,0주,중식당,차이나플레인,짜장면,짜장면맛집,짬뽕,짬뽕맛집,탕수육,탕수육맛집,코스요리,회식장소,데이트맛집,가족행사,상견례,성수동맛집,성수역맛집,성수동카페,서울숲맛집,서울숲카페,뚝섬역맛집,여의도맛집,여의도역맛집,문정맛집,문정역맛집,백일상,소규모돌잔치,돌잔치,칠순,칠순잔치,,,,
35,Yeouido Station,0주,ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yeouido Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yeouido Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Yeouido Station,0주,세광양대창,세광양대창,여의도맛집,조원호맛집,조원호여의도,양대창맛집,서울맛집,영등포맛집,여의도역맛집,,,,,,,,,,,,,,,,,,,,,,,
39,Yeouido Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
40,Yeouido Station,0주,분위기맛집,세상의모든아침,핫플,추억팔이,오늘아님주의,감성,사진스타그램,여의도,전경련회관,여의도맛집,맛집탐방,카페탐방,dinner,여의도카페,여의도역맛집,브런치,브런치맛집,뷰맛집,jmt,먹물리조또,존맛,좋아요테러,일상,맞팔,선팔,팔로우,소통,,,,,
41,Yeouido Station,1주,오투테라스,오투타워,02terrace,02tower,여의도맛집,여의도점심,여의도데이트,여의도회식,여의도역맛집,여의도모임,먹스타그램,맛스타그램,여의도,여의도이도맨숀,이도맨숀,토마호크스테이크,스테이크,삼겹살,항정살,고기집,,,,,,,,,,,,
42,Yeouido Station,1주,도쿄등심여의도,여의도회식,여의도회식장소,여의도회식추천,여의도모임,여의도맛집,여의도점심,여의도카페,여의도ifc몰,여의도역맛집,,,,,,,,,,,,,,,,,,,,,,
43,Yeouido Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Yeouido Station,1주,room,beef,salmon,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Yeouido Station,1주,KB,NH,ifc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Yeouido Station,1주,room,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Yeouido Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,목동맛집,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
48,Yeouido Station,1주,회식맛집,데이트맛집,여의도한강공원맛집,회식,와인주막차차,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Yeouido Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
50,Yeouido Station,1주,여의도맛집,콘래드호텔,thenoodlebar,콘래드누들바,탄탄멘,멘보샤,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Yeouido Station,1주,오투테라스,오투타워,02terrace,02tower,여의도맛집,여의도점심,여의도데이트,여의도회식,여의도역맛집,여의도모임,먹스타그램,맛스타그램,여의도,여의도오복수산참치,오복수산참치,카이센동,생참치,사시미,참치맛집,,,,,,,,,,,,,
52,Yeouido Station,1주,회식맛집,데이트맛집,여의도한강공원맛집,회식,와인주막차차,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Yeouido Station,1주,내궁맛집,여의도맛집,스시아루히,스시오마카세,여의도역맛집,스시야,후토마끼,맛스타그램,,,,,,,,,,,,,,,,,,,,,,,,
54,Yeouido Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
55,Yeouido Station,1주,도쿄등심여의도점,여의도역맛집,한강,한강공원,트러플,육회,송로버섯,,,,,,,,,,,,,,,,,,,,,,,,,
