,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
27,Gimpo Airport Station,74주,강서구맛집,나도스시,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,,
28,Gimpo Airport Station,75주,강서구맛집,나도스시,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,,
29,Gimpo Airport Station,75주,강서구맛집,나도스시,사시미정식,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
30,Gimpo Airport Station,76주,강서구맛집,나도스시,사시미정식,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
31,Gimpo Airport Station,76주,강서구맛집,나도스시,커플세트,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
32,Gimpo Airport Station,76주,강서구맛집,나도스시,야끼우동,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
33,Gimpo Airport Station,76주,강서구맛집,나도스시,연어샐러드,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
34,Gimpo Airport Station,76주,강서구맛집,나도스시,나도스페셜스시,메까도로,적심,광어,엔가와,도미,연어,왕새우,간장새우,와규,장어,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,
35,Gimpo Airport Station,76주,강서구맛집,나도스시,나도특스시,참치,광어,활어,연어,왕새우,간장새우,소라,와규,황치스테이크,타코와사비,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,
36,Gimpo Airport Station,78주,연말파티,참살이,삼겹살,크리스마스,크리스마스,크리스마스,,,,,,,,,,,,,,,,,,,,,,,,,
37,Gimpo Airport Station,83주,jmt,봉추찜닭,찜닭,김포공항,김포공항맛집,롯데몰,김포공항롯데몰,롯데몰맛집,김포공항역,김포공항역맛집,순살찜닭,,,,,,,,,,,,,,,,,,,,
