,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
18,Hansung Baekje Station,1주,방이동70번지,빽돈,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,,
19,Hansung Baekje Station,1주,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,,,,
20,Hansung Baekje Station,1주,골든타이,올림픽공원골든타이,서울맛집,잠실맛집,서울태국음식맛집,태국음식전문점,태국음식레스토랑,맛집추천,올림픽공원맛집,한성백제역맛집,장미광장근처맛집,솔직후기,뽀삐아톳,카오팟싸파롯,팟타이,,,,,,,,,,,,,,,,,
21,Hansung Baekje Station,2주,방이동136,개나리아구찜,개나리아구찜이활짝피었습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Hansung Baekje Station,2주,방이동맛집,방이동술집,한성백제역맛집,기유,착한횟집,방이동횟집,고샤크10기,,,,,,,,,,,,,,,,,,,,,,,,,
23,Hansung Baekje Station,2주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,,
24,Hansung Baekje Station,2주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,,
25,Hansung Baekje Station,2주,빽돈,방이점,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,,
26,Hansung Baekje Station,3주,청와옥,얼큰순대국밥,한성백제역,한성백제역맛집,월요일점심,든든한점심,웨이팅맛집,,,,,,,,,,,,,,,,,,,,,,,,,
27,Hansung Baekje Station,4주,따릉이,올림픽공원,차고버거,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Hansung Baekje Station,4주,빽돈,방이동맛집,방이동고기집,방이동술집,방이동회식,방이동데이트,방이동모임,회사모임,단체모임,잠실고기집,잠실맛집,잠실롯데맛집,롯데타워맛집,석촌호수맛집,석촌호수데이트,석촌호수고깃집,송파나루역맛집,한성백제역맛집,방이동삼겹살,방이동먹자골목맛집,,,,,,,,,,,,
29,Hansung Baekje Station,4주,차고버거,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Hansung Baekje Station,4주,merrygokitchen,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
