,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
37,Express Bus Terminal Station,2주,고속터미널역맛집,고속터미널점심맛집,고속터미널역점심,강남고터,맛집,서울고터맛집,낙곱전골,일번지육개장,낙지전골,맛집뿌시기,서울맛집,맛집탐방,칭구랑먹스타그램,,,,,,,,,,,,,,,,,,,,
38,Express Bus Terminal Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Express Bus Terminal Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Express Bus Terminal Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Express Bus Terminal Station,2주,반포맛집,한강맛집,치킨맛집,치킨,노랑통닭,한강,반포,반포한강공원,피크닉,노통,고속터미널역맛집,한강나들이,반포대교,통닭,통닭맛집,먹팔해요,맞팔해요,달빛광장,일상,먹스타그램,맛스타그램,소통,좋아요,chicken,먹팔선팔,맞팔,먹팔,,,,,,
42,Express Bus Terminal Station,2주,고속터미널역맛집,반포역맛집,조선면옥,함흥냉면,회냉면,꼬막비빔밥,꼬막,만두,먹스타그램,먹스타맞팔,맛스타스램,맛스타맞팔,술스타스램,술스타맞팔,선팔,선팔댓글,맞팔,소통,행복주,,,,,,,,,,,,,,
43,Express Bus Terminal Station,2주,고속터미널맛집,차알,랩더치킨,차돌마라탕면,파미에스테이션맛집,파미에스테이션차알,파미에스테이션,고속터미널역맛집,반포맛집,마라탕,먹스타그램,맛스타그램,먹스타맞팔,좋아요반사,좋반,맞팔,선팔하면맞팔,반포역맛집,교대맛집,교대역맛집,사평역맛집,잠원역맛집,고터맛집,,,,,,,,,,
44,Express Bus Terminal Station,2주,고속터미널역,곱창전골,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Express Bus Terminal Station,2주,고속터미널역맛집,센트럴시티터미널,모던눌랑센트럴시티점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Express Bus Terminal Station,2주,부다스벨리파미에스터이션,고속터미널역맛집,오페라의유령내한,오페라의유령vip석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
