,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
27,National Assembly Building Station,0주,마라탕맛집,마라공방,마세권,여의도마라탕,국회의사당맛집,국회의사당역맛집,여의도데이트,마시따,먹스타소통,선팔맞팔,마시따,좋아요반사,좋반,맞팔해요,푸드스타그램,f4follow,malatanghotpot,토마토달걀볶음,,,,,,,,,,,,,
28,National Assembly Building Station,0주,화해당,간장게장,솥밥,여의도맛집,국회의사당역맛집,영등포구맛집,서울맛집,Seoulfood,맛집,맛스타그램,먹스타그램,맛집스타그램,푸드스타그램,밥스타그램,food,foodstagram,맛집평가,foodphotography,foodie,JMT,,,,,,,,,,,
29,National Assembly Building Station,0주,coconutlatte,코코넛라떼,코코넛슬라이스,블루웨이브,외계인키친,여의도맛집추천,국회의사당역맛집,국회의사당맛집,여의도카페,국회카페,존맛탱구리,못먹어본사람없게해주세요,,,,,,,,,,,,,,,,,,,
30,National Assembly Building Station,1주,돼지그램,늙은이그램,먹방스타그램,국회의사당역맛집,연안식당,,,,,,,,,,,,,,,,,,,,,,,,,,
31,National Assembly Building Station,1주,분위기있는이곳,그리디몬,여의도펍,여의도수제버거,테라스맛집,여의도공원맛집,여의도맛집,퇴근후한잔,수제맥주,배달맛집,쿠팡이츠,요기요,배민,푸드플라이,더샵아일랜드파크맛집,방송국맛집,kbs,국회의사당역맛집,수제햄버거,플래터,피자,화이타,감바스,인스타핫플레이스,,,,,,,
32,National Assembly Building Station,1주,여의도맛집추천,국회의사당역맛집,국회의사당맛집,푸드코트맛집,버팔로윙,치킨치킨,buffalowings,sidemenu,신메뉴출시,,,,,,,,,,,,,,,,,,,,,,
33,National Assembly Building Station,1주,베르니의하루하루이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,National Assembly Building Station,1주,1,1,조명공사,카페조명,에디슨전구,화려한조명이나를감싸네,,,,,,,,,,,,,,,,,,,,,,,,,
35,National Assembly Building Station,1주,seoultruck,alienkitchen,5900원,실화임,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,National Assembly Building Station,1주,맛있는버거,그리디몬,greedymon,그리디몬수제버거,여의도수제버거,국회의사당역맛집,여의도공원맛집,테라스,여의도펍,여의도수제,배달맛집,쿠팡이츠,배달맛집,배민,,,,,,,,,,,,,,,,,
37,National Assembly Building Station,1주,국회의사당역,국회의사당역맛집,칼국수맛집,손만두추가,금요일,어제술먹은오빠,미우면서,,,,,,,,,,,,,,,,,,,,,,,,
38,National Assembly Building Station,1주,greedymon,수제맥주맛집,퇴근후한잔,여의도핫플,여의도펍,수제버거맛집,이집버맥예술,국회의사당역맛집,쿠팡이츠,배민,요기요,kbs,,,,,,,,,,,,,,,,,,,
39,National Assembly Building Station,1주,첫줄안녕,여의도맛집,서여의도맛집,국회의사당역맛집,점심밥상,팀장님과,고등어구이,돼지불백,점심스타그램,먹방스타그램,,,,,,,,,,,,,,,,,,,,,
40,National Assembly Building Station,1주,그리디몬,버거맛집,여의도수제버거,greedymon,그리디몬,Greedymon,국회의사당역맛집,여의도역맛집,여의도점심,배달맛집,배민,쿠팡이츠,요기요플러스,테라스맛집,,,,,,,,,,,,,,,,,
41,National Assembly Building Station,1주,조미료없는,진짜음식,남도음식,한정식,대방골,여의도맛집,국회의사당역맛집,,,,,,,,,,,,,,,,,,,,,,,,
42,National Assembly Building Station,2주,여의도맛집,여의도공원맛집,kbs맛집,국회의사당역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
