,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
34,Samjeon Station,0주,부부맛스타,부부맛집,아구찜,삼전역맛집,김영희강남동태찜본점,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Samjeon Station,0주,맞팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Samjeon Station,0주,더이상의자세한설명은생략한다,피자쿠치나,나만의피자,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Samjeon Station,0주,술과안주그리고정,추천,잠실맛집,삼전동맛집,삼전역맛집,잠실새내,신천,송파,분위기,안주맛집,daily,jmt,맛스타그램,좋아요,,,,,,,,,,,,,,,,,,
38,Samjeon Station,0주,맛없없,그것이개발자의길,나만의피자,피자쿠치나,토핑을고르다,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Samjeon Station,1주,삼전역맛집,송파맛집,미인닭발,닭발,무뼈닭발,드디어먹음,맛나네,,,,,,,,,,,,,,,,,,,,,,,,,
40,Samjeon Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Samjeon Station,1주,나만의피자,피자쿠치나,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Samjeon Station,1주,삼전역맛집,신천역,기사식당급,가격이그대로야,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Samjeon Station,1주,부부맛스타,부부맛집,숙성살치살,코리코리,삼전역맛집,잠실맛집,부일갈매기,,,,,,,,,,,,,,,,,,,,,,,,,
44,Samjeon Station,1주,당고개냉면,함흥냉면,평양물냉면,삼전역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Samjeon Station,1주,7,인근최고안주맛집,가라아게냠냠,삼전역맛집,교원더오름,교원더오름ace그룹,교원더오름ace그룹하모니팀,,,,,,,,,,,,,,,,,,,,,,,,,
46,Samjeon Station,1주,나만의피자,피자쿠치나,편식권장,토핑을고르다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Samjeon Station,1주,도곡동임,휘도르,눈썹문신,잠실눈썹문신,잠실눈썹,잠실문신,삼전역눈썹문신,삼전역,잠실역,송파역,삼전역맛집,삼전역눈썹,삼전눈썹문신,삼전문신,송파눈썹문신,송파문신,석촌눈썹문신,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,메이크업컨설팅,소개팅메이크업,데일리메이크업샵,면접메이크업샵,취업메이크업,메이크업레슨,메이크업레슨,메이크업레슨,,
48,Samjeon Station,1주,잠실돼지갈비,잠실맛집,삼전역맛집,잠실고기집,삼전동맛집,잠실담은갈비,돼지갈비맛집,인생돼지갈비,,,,,,,,,,,,,,,,,,,,,,,,
49,Samjeon Station,1주,주은감자탕,삼전동맛집,송파맛집,석촌고분역맛집,삼전역맛집,석촌역맛집,감자탕맛집,수요미식회맛집,서울맛집투어,맛집투어,맛집탐방,해장맛집,맛스타그램,먹스타그램,푸드스타그램,맛집맞팔,먹스타맞팔,맛스타맞팔,오늘뭐먹지,오늘뭐먹으까,선팔맞팔,먹팔환영,좋아요반사,,,,,,,,,
50,Samjeon Station,1주,휘도르,눈썹문신,잠실눈썹문신,잠실눈썹,잠실문신,삼전역눈썹문신,삼전역,잠실역,송파역,삼전역맛집,삼전역눈썹,삼전눈썹문신,삼전문신,송파눈썹문신,송파문신,석촌눈썹문신,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,메이크업컨설팅,소개팅메이크업,데일리메이크업샵,면접메이크업샵,취업메이크업,메이크업레슨,메이크업레슨,메이크업레슨,,,
51,Samjeon Station,1주,안재식당,잠실,반상,솥밥,가마솥밥,제육볶음,약주,건강밥상,한식밥상,한식맛집,잠실맛집,삼전역맛집,숨은맛집,맛집추천,맛집탐방,맛집스타그램,맛스타그램,먹스타그램,맛저,,,,,,,,,,,,,
52,Samjeon Station,1주,삼전역맛집,삼전동술집,삼전역술집,삼전집,밤막걸리,메밀전병,안주스타그램,술스타그램,데이트그램,동네데이트,,,,,,,,,,,,,,,,,,,,,,
53,Samjeon Station,1주,불금,감사합니다,복받으실거에여,스시자카,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Samjeon Station,1주,휘도르,눈썹문신,잠실눈썹문신,잠실눈썹,잠실문신,삼전역눈썹문신,삼전역,잠실역,송파역,삼전역맛집,삼전역눈썹,삼전눈썹문신,삼전문신,송파눈썹문신,송파문신,석촌눈썹문신,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,메이크업컨설팅,소개팅메이크업,데일리메이크업샵,면접메이크업샵,취업메이크업,메이크업레슨,메이크업레슨,메이크업레슨,,,
55,Samjeon Station,1주,휘도르,눈썹문신,잠실눈썹문신,잠실눈썹,잠실문신,삼전역눈썹문신,삼전역,잠실역,송파역,삼전역맛집,삼전역눈썹,삼전눈썹문신,삼전문신,송파눈썹문신,송파문신,석촌눈썹문신,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,메이크업컨설팅,소개팅메이크업,데일리메이크업샵,면접메이크업샵,취업메이크업,메이크업레슨,메이크업레슨,메이크업레슨,,,
56,Samjeon Station,1주,피자쿠치나,나만의피자,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Samjeon Station,2주,만석,감사합니다,스시자카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Samjeon Station,2주,꽃낙지,잠실맛집,삼전역맛집,낙지최고맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Samjeon Station,2주,나만의피자,피자쿠치나,1일1판,일일일판,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Samjeon Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Samjeon Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Samjeon Station,2주,라미아파밀리아,잠실동의축복,잠실레스토랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Samjeon Station,2주,투썸,음료,휘도르,눈썹,잠실눈썹,잠실눈썹,잠실,삼전역눈썹,삼전역,잠실역,송파역,삼전역맛집,삼전역눈썹,삼전눈썹,송파눈썹,석촌눈썹,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,메이크업컨설팅,소개팅메이크업,데일리메이크업샵,면접메이크업샵,취업메이크업,메이크업레슨,메이크업레슨,메이크업레슨,,,
64,Samjeon Station,2주,피자쿠치나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Samjeon Station,2주,라미아파밀리아,잠실동의축복,잠실프라이빗다이닝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
