,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,Central Veterans Hospital Station,33주,짱팬클럽,미식여행,중앙보훈병원역맛집,바로한국수,유기농밀가루,유기농국수전문점,고기무침,육면,신기면,흑면,맛스타그램,먹스타그램,맛집,국수맛집,강동구맛집,모임장소추천,일상스타그램,데일리,인친,좋아요,,,,,,
1,Central Veterans Hospital Station,9주,마드레,둔촌동맛집,강동구맛집,서울맛집,한식맛집,백반,백반맛집,매운갈비찜맛집,매운갈비찜,건강식맛집,건강식,중앙보훈병원근처맛집,중앙보훈병원역맛집,밥집맛집,밥스타그램,먹스타그램,맛스타그램,푸드스타그램,맛집투어,맛집맞팔,먹스타맞팔,맛스타맞팔,선팔맞팔,맞팔환영,오늘뭐먹지,오늘뭐먹으까
