,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
32,Seonjeongneung Station,0주,waffle,coffee,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Seonjeongneung Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Seonjeongneung Station,0주,humming,balvenie,LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Seonjeongneung Station,0주,피노그리,오렌지와인,테라스사랑해,조인바이트,역삼동맛집,테라스,수국,내추럴와인,와인,샴페인,오렌지와인,피노그리,foodie,winey,journey,wine,winelover,winepairing,naturalwine,vinnaturel,와이니,와이니,와이니맛집,선정릉역맛집,삼성동맛집,pinotgris,orangewine,frelih,rohcoblanchis,피노그리지오,pinotgrigio
36,Seonjeongneung Station,0주,조인바이트,역삼동맛집,테라스,수국,내추럴와인,와인,샴페인,오렌지와인,피노그리,foodie,winey,journey,wine,winelover,winepairing,naturalwine,vinnaturel,와이니,와이니,와이니맛집,선정릉역맛집,삼성동맛집,,,,,,,,,
37,Seonjeongneung Station,0주,선릉맛집,회식,필수템,숨은그림찾기,더체크,78회관,회식장소,나만만취,단체사진,단체,성공하자,강남회식,선정릉역맛집,오랜만,,,,,,,,,,,,,,,,,
38,Seonjeongneung Station,0주,끽비어컴퍼니,꿀꺽,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,
39,Seonjeongneung Station,0주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
40,Seonjeongneung Station,0주,카페레꼴뜨,카페레꼴뜨,레꼴뜨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Seonjeongneung Station,0주,불고기,강된장,광화문독거노인,라마다호텔,삼성동맛집,선정릉역맛집,송화,송화버섯,유기농,저염식,먹스타그램,먹스타,직장인점심,강남접대,foodie,foodstagram,pinepollen,,,,,,,,,,,,,,
42,Seonjeongneung Station,0주,따봉이,방전따봉,개안마,개피곤,애견스타그램,joinvite,조인바이트,강남,삼성동,선정릉역,코엑스,강남맛집추천,선정릉역맛집,선릉역맛집,강남구청맛집,강남테라스브런치카페,강남분위기좋은카페,애견동반카페,애플망고맛집,애플망고빙수맛집,따봉코리아,참따봉,강남이탈리안레스토랑,강남스테이크맛집,강남파스타맛집,wine,와인,와인페어링,강남와인,와인콜키지,
43,Seonjeongneung Station,0주,리우근처맛집,동네맛집,망고빙수,애플망고빙수,joinvite,조인바이트,선정릉역맛집,강남구청역맛집,강남구청맛집,애견동반카페,리우재활의학과,선정릉역,강남구청역,,,,,,,,,,,,,,,,,,
44,Seonjeongneung Station,0주,호텔,레스토랑,비앙브뉴레스토랑,삼성동호텔,선정릉역호텔,선정릉역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
45,Seonjeongneung Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Seonjeongneung Station,0주,샴페인,스파클링,로제,칠링,아이스,joinvite,조인바이트,강남,삼성동,선정릉역,코엑스,강남맛집추천,선정릉역맛집,선릉역맛집,강남구청맛집,강남테라스브런치카페,강남분위기좋은카페,애견동반카페,애플망고맛집,애플망고빙수맛집,따봉코리아,참따봉,강남이탈리안레스토랑,강남스테이크맛집,강남파스타맛집,wine,와인,와인페어링,강남와인,와인콜키지,
47,Seonjeongneung Station,0주,서비스,이벤트,운,재수,로또,joinvite,조인바이트,강남,삼성동,선정릉역,코엑스,강남맛집추천,선정릉역맛집,선릉역맛집,강남구청맛집,강남테라스브런치카페,강남분위기좋은카페,애견동반카페,애플망고맛집,애플망고빙수맛집,따봉코리아,참따봉,강남이탈리안레스토랑,강남스테이크맛집,강남파스타맛집,wine,와인,와인페어링,강남와인,와인콜키지,
48,Seonjeongneung Station,0주,XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Seonjeongneung Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Seonjeongneung Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Seonjeongneung Station,0주,casecadebrewing,pearmary,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,
52,Seonjeongneung Station,0주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
53,Seonjeongneung Station,0주,조인바이트,joinvite,얼스타,얼스타그램셀카,셀,셀피그램,셀피꾼,셀기꾼,장모치와와,식사중,,,,,,,,,,,,,,,,,,,,,
