,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
632,Seonyudo Station,6주,영등포맛집,선유도맛집,김밥처럼,선유도역맛집,JMT,새우튀김비쥬얼최고,또먹고싶다,맛집강추,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,비빔국수,합정역맛집,차돌박이,홍대맛집탐방,홍대데이트,홍대고기집,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집,합정맛집추천,존맛탱,홍대맛집베스트10,홍대맛집베스트,당산맛집,냉삼초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Seonyudo Station,6주,스파이시치킨로제,뚝배기파스타,트러플크림파스타,선유도공원,선유도공원맛집,선유도역맛집,목동맛집,선유도맛집,스퀘어21,오너세프맛집,오래된맛집,선유도데이트,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,오겹살맛집,홍대맛집탐방,삼겹살,합정삼겹살,냉삼초밥,합정맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,JMT,홍대맛집탐방,홍대데이트,오겹살맛집,존맛탱,연남동맛집,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정맛집추천,JMT,홍대맛집추천,맛집,선유도,삼겹살,차돌박이,상수동맛집,합정동맛집,홍대맛집,,,,,,,,,,,,,,,,,,,,,,,,
639,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,홍대삼겹살,존맛탱,상수동맛집,홍대데이트,오겹살맛집,합정삼겹살,JMT,홍대맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,
640,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대삼겹살,합정역맛집,홍대맛집베스트10,합정맛집추천,선유도,삼겹살맛집,상수동맛집,즉석떡볶이,비빔국수,,,,,,,,,,,,,,,,,,,,,,,,,
641,Seonyudo Station,6주,일출과출몰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
