,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Seonyudo Station,8주,뚜스뚜스,버섯크림파스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Seonyudo Station,10주,택배,홈앤브레드,녹차크림팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seonyudo Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집스타그램,이영자맛집,외식하는날맛집,이영자,홍대고기집,송가인,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Seonyudo Station,4주,tsukemen,ramen,jmt,먹방,먹방스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,연남동맛집,밥블레스유,비빔국수,홍대데이트,홍대삼겹살,존맛탱,외식하는날,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Seonyudo Station,9주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살맛집,차돌박이,홍대맛집베스트,영등포맛집,합정데이트,비빔국수,이영자,홍대맛집추천,서교동맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,
8,Seonyudo Station,17주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,이영자,맛집,홍대맛집,이영자맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대고기집,합정삼겹살,삼겹살맛집,외식하는날삼겹살,홍대맛집베스트,이영자맛집,홍대맛집탐방,선유도,맛집스타그램,송가인맛집,,,,,,,,,,,,,,,,,,,,,,,,
11,Seonyudo Station,0주,양념소고기,선유도맛집,선유도역맛집,서서갈비,선유도소고기,당산맛집,당산소고기,양념소고기맛집,소고기맛집,무튼고선유도,술스타그램,술안주,안주그램,푸드스타그램,맛스타그램,맛집,맛있다그램,먹스타그램,먹스타,먹부림,존맛탱,jmt,일상,데일리,daily,맛집추천,맞팔,와인스타그램,,,,,,,,,,
12,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,합정동맛집,오겹살,합정고기집,이영자맛집,홍대데이트,홍대맛집추천,합정데이트,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살,비빔국수,냉삼초밥,이영자,외식하는날송가인,서교동맛집,홍대맛집,홍대맛집베스트,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
14,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,존맛탱,합정고기집,홍대맛집베스트,홍대맛집탐방,합정역맛집,밥블레스유,홍대삼겹살,외식하는날삼겹살,외식하는날송가인,,,,,,,,,,,,,,,,,,,,,,,,,
15,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집,송가인맛집,홍대데이트,합정데이트,외식하는날송가인,이영자,홍대맛집베스트10,서교동맛집,홍대맛집탐방,맛집,,,,,,,,,,,,,,,,,,,,,,,,
16,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집,홍대삼겹살,합정역맛집,외식하는날송가인,맛집스타그램,밥블레스유,맛집,합정동맛집,당산맛집,송가인,,,,,,,,,,,,,,,,,,,,,,,,
17,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,연남동맛집,이영자맛집,맛집스타그램,JMT,송가인,즉석떡볶이,당산맛집,합정동맛집,이영자,선유도,,,,,,,,,,,,,,,,,,,,,,,,
19,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,선유도,합정고기집,즉석떡볶이,영등포맛집,이영자,홍대맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,홍대고기집,당산맛집,냉삼초밥,찐맛집,합정동맛집,합정삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트,연남동맛집,홍대맛집추천,맛집스타그램,차돌박이,외식하는날삼겹살,서교동맛집,송가인맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대삼겹살,이영자맛집,송가인,합정고기집,외식하는날맛집,합정데이트,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정맛집추천,연남동맛집,송가인맛집,서교동맛집,냉삼초밥,오겹살,JMT,삼겹살,홍대고기집,,,,,,,,,,,,,,,,,,,,,,,,,
24,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,비빔국수,외식하는날맛집,이영자맛집,영등포맛집,차돌박이,당산맛집,오겹살맛집,합정삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,
25,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,존맛탱,선유도,합정삼겹살,맛집,외식하는날삼겹살,홍대맛집베스트10,JMT,찐맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대고기집,비빔국수,홍대데이트,외식하는날맛집,삼겹살맛집,오겹살,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Seonyudo Station,0주,고기스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날송가인,찐맛집,오겹살맛집,합정역맛집,홍대맛집베스트,합정고기집,송가인맛집,상수동맛집,맛집,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,
30,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,오겹살,서교동맛집,선유도,합정동맛집,홍대맛집추천,외식하는날삼겹살,즉석떡볶이,홍대고기집,이영자맛집,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,
31,Seonyudo Station,0주,바다식당,재난지원금사용처,물러가라코로나,선유도역,9호선맛집,선유도역맛집,선유도바다식당,바다식당,선유도5번출구바로앞,jmt,회포차,회식장소,먹스타그램,먹스타,먹스타맞팔,맛집,맛집추천,맛스타그램,존맛탱집,존맛집,회,먹스타,안주스타그램,안주맛집,ootd,선팔,맞팔,선팔하면맞팔,좋아요반사,푸디,맛집스타그램,재난지원금사용가능,,,,,,
32,Seonyudo Station,0주,선유도,선유도역,선유도역맛집,선유도이천냥하우스,얼음소주,화장실은최악근데그게문제가안됨,더모멩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,차돌박이,외식하는날맛집,찐맛집,합정데이트,합정고기집,합정역맛집,JMT,오겹살맛집,이영자맛집,,,,,,,,,,,,,,,,,,,,,,,,,
34,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Seonyudo Station,0주,200608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트10,홍대맛집,연남동맛집,당산맛집,송가인,홍대삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,비빔국수,홍대맛집,합정데이트,삼겹살맛집,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Seonyudo Station,0주,스퀘어21,목살스테이크,선유도맛집,선유도역맛집,선유도역,선유도,파스타맛집,맛집스타그램,먹스타그램,점심시간,점심메뉴추천,점심특선,맞팔선팔환영,선팔환영,선팔맞팔,수비드스테이크,루꼴라와잘어울림,,,,,,,,,,,,,,,,,,,,,
40,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집탐방,당산맛집,이영자,연남동맛집,합정데이트,송가인,홍대맛집추천,홍대삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,상수동맛집,외식하는날송가인,차돌박이,외식하는날삼겹살,송가인맛집,선유도,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날삼겹살,외식하는날송가인,홍대삼겹살,찐맛집,JMT,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인맛집,외식하는날송가인,합정역맛집,존맛탱,이영자,외식하는날삼겹살,합정데이트,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Seonyudo Station,0주,선유나루,영등포맛집,영등포구맛집,선유도맛집,선유도역맛집,당산역맛집,당산맛집,영등포고기집,양평동맛집,서울영등포맛집,영등포가볼만한곳,영등포맛집,영등포맛집추천,밀감,밀감,,,,,,,,,,,,,,,,,,,,,,,
45,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살,합정동맛집,차돌박이,외식하는날삼겹살,합정역맛집,즉석떡볶이,존맛탱,삼겹살맛집,오겹살,,,,,,,,,,,,,,,,,,,,,,,,,
46,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,서교동맛집,존맛탱,홍대고기집,외식하는날송가인,홍대맛집베스트,냉삼초밥,비빔국수,외식하는날삼겹살,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,
47,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,차돌박이,홍대삼겹살,이영자,합정삼겹살,선유도,즉석떡볶이,찐맛집,밥블레스유,홍대맛집베스트,,,,,,,,,,,,,,,,,,,,,,,,,
48,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정데이트,연남동맛집,상수동맛집,오겹살,밥블레스유,홍대맛집베스트,영등포맛집,외식하는날맛집,선유도,맛집,,,,,,,,,,,,,,,,,,,,,,,,
49,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,합정맛집추천,찐맛집,존맛탱,홍대고기집,JMT,홍대삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,당산맛집,홍대고기집,외식하는날삼겹살,합정고기집,송가인,연남동맛집,차돌박이,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,연남동맛집,삼겹살맛집,JMT,상수동맛집,합정삼겹살,외식하는날,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정동맛집,연남동맛집,합정삼겹살,냉삼초밥,외식하는날맛집,합정맛집추천,송가인맛집,합정역맛집,JMT,,,,,,,,,,,,,,,,,,,,,,,,,
53,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,선유도,합정역맛집,밥블레스유,이영자,오겹살맛집,존맛탱,연남동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,오겹살맛집,홍대데이트,맛집스타그램,이영자,맛집,삼겹살맛집,오겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인맛집,합정삼겹살,삼겹살맛집,합정고기집,송가인,합정역맛집,합정맛집추천,당산맛집,비빔국수,,,,,,,,,,,,,,,,,,,,,,,,,
56,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,영등포맛집,JMT,외식하는날맛집,홍대고기집,송가인,존맛탱,합정맛집추천,합정역맛집,맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,
57,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정삼겹살,존맛탱,홍대맛집탐방,차돌박이,홍대맛집,즉석떡볶이,밥블레스유,선유도,합정맛집추천,이영자,,,,,,,,,,,,,,,,,,,,,,,,
58,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,합정동맛집,외식하는날,영등포맛집,홍대데이트,홍대맛집베스트10,송가인맛집,비빔국수,홍대맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,
59,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정동맛집,외식하는날송가인,서교동맛집,홍대데이트,차돌박이,영등포맛집,존맛탱,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,삼겹살맛집,삼겹살,합정삼겹살,홍대맛집,합정맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Seonyudo Station,0주,샐러디,샐러드맛집,샐러드볼,샐러드마스터,핫플레이스,핫플레이스발견,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,합정동맛집,외식하는날삼겹살,외식하는날송가인,비빔국수,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정동맛집,홍대맛집,외식하는날삼겹살,합정맛집추천,합정고기집,선유도,홍대데이트,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,비빔국수,홍대맛집,오겹살맛집,당산맛집,영등포맛집,이영자,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,오겹살,차돌박이,외식하는날삼겹살,삼겹살맛집,밥블레스유,맛집스타그램,당산맛집,합정동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날삼겹살,홍대맛집,이영자맛집,즉석떡볶이,홍대맛집추천,송가인,합정삼겹살,선유도,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seonyudo Station,0주,분위기좋은카페,분위기맛집,야경맛집,선유도역맛집,선유도역카페,선유도파크호텔,파크호텔루프탑14층,루프탑바,루프탑카페,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,홍대맛집베스트10,냉삼초밥,당산맛집,합정맛집추천,홍대맛집베스트,삼겹살맛집,홍대삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,존맛탱,차돌박이,오겹살맛집,송가인맛집,즉석떡볶이,냉삼초밥,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Seonyudo Station,0주,누구나홀딱반한닭선유도역점,선유도맛집,선유도역맛집,선유도치킨,누구나홀딱반한닭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날삼겹살,홍대데이트,홍대고기집,홍대맛집탐방,연남동맛집,이영자맛집,밥블레스유,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,차돌박이,이영자,상수동맛집,밥블레스유,오겹살맛집,선유도,합정동맛집,홍대맛집베스트10,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날송가인,홍대데이트,오겹살,홍대맛집,맛집,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정삼겹살,홍대맛집베스트,합정고기집,외식하는날송가인,합정데이트,서교동맛집,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Seonyudo Station,0주,또순이네,양평동또순이네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,홍대맛집,당산맛집,홍대맛집추천,홍대고기집,연남동맛집,합정역맛집,즉석떡볶이,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,
78,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살맛집,JMT,맛집,냉삼초밥,차돌박이,존맛탱,당산맛집,송가인맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날,오겹살맛집,합정맛집추천,홍대맛집베스트10,서교동맛집,외식하는날삼겹살,영등포맛집,삼겹살,JMT,,,,,,,,,,,,,,,,,,,,,,,,,
80,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,당산맛집,밥블레스유,냉삼초밥,외식하는날삼겹살,존맛탱,홍대데이트,홍대맛집추천,찐맛집,상수동맛집,비빔국수,,,,,,,,,,,,,,,,,,,,,,,,
81,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정고기집,합정동맛집,송가인,홍대맛집탐방,합정삼겹살,외식하는날맛집,냉삼초밥,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Seonyudo Station,0주,선유도역맛집,바삭하게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날맛집,즉석떡볶이,찐맛집,이영자맛집,오겹살,비빔국수,송가인,홍대삼겹살,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
84,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,홍대삼겹살,홍대맛집,선유도,합정고기집,냉삼초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Seonyudo Station,0주,선유나루,쿠리뷰,쿠리뷰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날맛집,차돌박이,찐맛집,송가인,홍대맛집베스트10,상수동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인,외식하는날송가인,합정맛집추천,당산맛집,상수동맛집,연남동맛집,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Seonyudo Station,0주,바다식당,재난지원금사용처,물러가라코로나,선유도역,9호선맛집,선유도역맛집,선유도바다식당,선유도5번출구바로앞,jmt,회포차,회식장소,먹스타그램,먹스타,먹스타맞팔,맛집,맛집추천,맛스타그램,존맛집,회,먹스타,안주스타그램,안주맛집,ootd,맞팔,선팔하면맞팔,좋아요반사,푸디,긴급재난지원금,재난지원금사용가능,,,,,,,,,
89,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인,합정동맛집,삼겹살맛집,합정고기집,이영자,합정맛집추천,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,상수동맛집,밥블레스유,외식하는날맛집,당산맛집,합정역맛집,외식하는날송가인,JMT,홍대맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Seonyudo Station,0주,온수반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날,송가인맛집,홍대맛집탐방,선유도,홍대맛집베스트10,삼겹살,오겹살맛집,즉석떡볶이,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,
93,Seonyudo Station,0주,25블럭,마카롱맛집,뚱카롱맛집,옥수수마카롱,티라미슈마카롱,마카롱사랑,마카롱맛집,선유도디저트카페,선유도공원디저트,선유도역맛집,맛점,당충전,달달구리,,,,,,,,,,,,,,,,,,,,,,,,,
94,Seonyudo Station,0주,25블럭,샌드위치맛집,하프샌드위치,선유도맛집,선유도공원카페,선유도공원브런치,샌드위치그램,자몽에이드,카페그램,에그샌드위치,바나나피넛버터샌드위치,점심메뉴추천,선유도공원,선유도핫플,배민맛집,,,,,,,,,,,,,,,,,,,,,,,
95,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자맛집,홍대맛집탐방,냉삼초밥,찐맛집,삼겹살맛집,연남동맛집,즉석떡볶이,외식하는날,밥블레스유,,,,,,,,,,,,,,,,,,,,,,,,,
96,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날송가인,홍대삼겹살,외식하는날맛집,찐맛집,홍대맛집,맛집스타그램,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날맛집,외식하는날송가인,합정맛집추천,삼겹살맛집,맛집스타그램,맛집,비빔국수,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날,홍대맛집탐방,외식하는날삼겹살,삼겹살맛집,오겹살,합정맛집추천,홍대데이트,JMT,차돌박이,홍대맛집베스트,,,,,,,,,,,,,,,,,,,,,,,,
99,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트,외식하는날,영등포맛집,합정데이트,선유도,오겹살,삼겹살맛집,외식하는날송가인,합정삼겹살,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,
100,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정맛집추천,서교동맛집,홍대맛집탐방,송가인,합정동맛집,연남동맛집,비빔국수,홍대데이트,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정맛집추천,외식하는날삼겹살,맛집스타그램,홍대고기집,홍대맛집추천,찐맛집,외식하는날,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Seonyudo Station,0주,200603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,외식하는날삼겹살,연남동맛집,냉삼초밥,맛집,홍대맛집,즉석떡볶이,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정삼겹살,홍대맛집탐방,외식하는날,송가인맛집,이영자,찐맛집,선유도,당산맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Seonyudo Station,0주,결국후레쉬,해물파전,선유도역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집,홍대맛집탐방,서교동맛집,합정데이트,연남동맛집,상수동맛집,홍대맛집추천,오겹살맛집,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,
110,Seonyudo Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Seonyudo Station,14주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Seonyudo Station,15주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Seonyudo Station,15주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,찐맛집,냉삼초밥,외식하는날송가인,삼겹살,외식하는날삼겹살,맛집,외식하는날,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Seonyudo Station,1주,리틀파파포,선유도역쌀국수,쌀국수맛집,선유도역맛집,사실그냥쏘쏘함,평범한,맛1가격2분위기4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정데이트,홍대데이트,삼겹살,이영자맛집,합정고기집,홍대고기집,홍대맛집베스트10,비빔국수,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
119,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,삼겹살맛집,합정데이트,즉석떡볶이,오겹살,냉삼초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,선유도,합정맛집추천,서교동맛집,오겹살맛집,밥블레스유,영등포맛집,합정역맛집,외식하는날,찐맛집,,,,,,,,,,,,,,,,,,,,,,,,,
121,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트10,외식하는날,오겹살맛집,홍대맛집추천,홍대삼겹살,맛집,합정고기집,오겹살,찐맛집,,,,,,,,,,,,,,,,,,,,,,,,,
122,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,비빔국수,홍대맛집,외식하는날송가인,이영자,홍대맛집베스트10,송가인,홍대맛집탐방,외식하는날맛집,차돌박이,,,,,,,,,,,,,,,,,,,,,,,,
123,Seonyudo Station,1주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,맛집스타그램,밥블레스유,이영자맛집,JMT,차돌박이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Seonyudo Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Seonyudo Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
