,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
30,Samseong Central Station,0주,카페담,담,삼성중앙역카페,삼성중앙역,삼성중앙역와인,삼성중앙역와인맥주,삼성중앙역예쁜카페,삼성중앙역카페추천,삼성중앙역커피,여자혼술,삼성동카페,여자혼술할수있는곳,삼성중앙역맛집,,,,,,,,,,,,,,,,,,,,
31,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
