,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
30,Gayang Station,0주,강서구맛집,강서구술집,강서구청맛집,강서맛집,강서구청술집,강서구청,강서구맛집,화곡동맛집,화곡맛집,화곡동,화곡동카페,화곡동술집,가양역맛집,양천구맛집,발산역맛집,마곡맛집,목동맛집,목동술집,김포맛집,오목교맛집,화곡역맛집,마곡나루맛집,목동카페,양평맛집,마곡카페,서울카페,서울맛집,김포맛집,,,
31,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Gayang Station,0주,첫줄반사,가양역맛집,발산역맛집,마곡역맛집,인친환영,강서구헬스,증미역헬스,빛나러오소,레푸스,좋반,데일리,선팔,맞팔,강서구술집,골프,헬스,할머니,할아버지,부부그램,딸바보,육아스타그램,딸,아들,강서구맛집,초등학생,,,,,,
43,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역속눈썹,강서구청네일,등촌역맛집,가양역맛집,증미역맛집,빛나러오소,데일리메이크업,일요일,좋반,화요일,대한민국,일상,꽃네일아트,여름,여름젤네일아트,찐,강서구,강서구맛집,마곡나루맛집,,,,,,,,,
44,Gayang Station,0주,가양역맛집,운동,헬스장,헬스타그램,피트니스,다이어트,근력운동,웨이트,재활,강서구,가양역,등촌역,등촌,여름,준비,,,,,,,,,,,,,,,,
45,Gayang Station,0주,가양역맛집,공릉동닭한마리,점심,낮술,먹스타그램,먹방,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,수요일,좋반,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,문제성전문,문제성관리,가양역뷰티샵,,,,,
48,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,수요일,좋반,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,문제성전문,문제성관리,가양역뷰티샵,,,,,
49,Gayang Station,0주,매일와서먹고싶은맛,김셰프중화요리,김셰프,kimchef,30년경력요리장인,가양동맛집,가양역맛집,맛집추천,,,,,,,,,,,,,,,,,,,,,,,
50,Gayang Station,0주,월정떼루아,가양동맛집,가양역맛집,등촌동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
