,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
29,Songpa Naru Station,0주,실화,대게,킹크랩,랍스타,잠실맛집,대게나라잠실점,대게,6월,코로나19,대게,6월,방이동맛집,송파나루역맛집,송리단길맛집,석촌호수공원맛집,롯데월드맛집,롯데월드타워맛집,올림픽공원맛집,잠실새내역맛집,아산병원맛집,삼성병원맛집,한정식맛집,잠실대게맛집,대게맛집,대게포장,잠실모임장소,회식장소,가족외식장소,외식장소,데이트장소,대게나라이벤트
30,Songpa Naru Station,0주,카레바시야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Songpa Naru Station,0주,잠실맛집,송파구맛집,송파나루역맛집,방이동맛집,잠실이자카야,송파이자카야,방이동이자카야,송리단길이자카야,송파술집,잠실술집,방이동술집,오모,이자카야오모,오모이자카애,송파이자카야오모,송리단길이자카야오모,방이동이자카야오모,원초이맛집,이자카야원정대,,,,,,,,,,,,
32,Songpa Naru Station,0주,잠실맛집,송파구맛집,송파나루역맛집,방이동맛집,니꾸바시야,송파니꾸바시야,방이동니꾸바시야,카레맛집,송파카레,잠실카레,방이동카레,잠실카레맛집,송파카레맛집,방이동카레맛집,일식카레맛집,카레바시야,혼밥맛집,혼밥,잠실카레바시야,송파카레바시야,방이동카레바시야,원초이맛집,카레원정대,,,,,,,,
33,Songpa Naru Station,0주,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Songpa Naru Station,0주,rustic,kitchen,restaurant,성수동,서울숲,뚝섬,송파동,석촌호수,송파나루,석촌,온량,,,,,,,,,,,,,,,,,,,,
35,Songpa Naru Station,0주,rustic,kitchen,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Songpa Naru Station,0주,잠실맛집,대게나라잠실점,대게,이벤트,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Songpa Naru Station,0주,카레바시야,카레,카레맛집,잠실카레맛집,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,맛집탐방,맛집추천,저녁밥,저녁식사,주말혼밥,송리단길근처,,,,,,,,,,,
38,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Songpa Naru Station,0주,팔각동,흑초탕수육,팔각탄탄멘,팔각마장멘,맛있어서,또갔음,다음엔,동파육덮밥,먹어야지,맛탐소,대장,오랜만에,맛집탐방,4시간,수다떨고,목아픔,송리단길맛집,송파나루역맛집,잠실맛집,송파맛집,,,,,,,,,,,
41,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Songpa Naru Station,0주,카레바시야,카레,카레맛집,잠실카레맛집,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,맛집탐방,맛집추천,저녁밥,저녁식사,주말혼밥,송리단길근처,,,,,,,,,,,
43,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Songpa Naru Station,0주,미자식당,명란돈까스,가정식,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Songpa Naru Station,0주,카페스타그램,먹스타그램,송리단길,송리단길카페,송파나루역맛집,송파구맛집,카페보브르,크로플,당근케이크,,,,,,,,,,,,,,,,,,,,,,
47,Songpa Naru Station,0주,소고기토마토카레,새우크림카레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Songpa Naru Station,0주,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Songpa Naru Station,0주,카레바시야,카레,카레맛집,잠실카레맛집,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,맛집탐방,맛집추천,저녁밥,저녁식사,주말혼밥,송리단길,,,,,,,,,,,
50,Songpa Naru Station,0주,모터시티,송리단길맛집,막방,먹방스타그램,피자맛집,송리단길맛집추천,송파나루역맛집,좋아요,모터시티피자,,,,,,,,,,,,,,,,,,,,,,
51,Songpa Naru Station,0주,별별식당,맛집,잠실맛집,잠실역맛집,송리단길맛집,송파구맛집,석촌호수맛집,송파나루역맛집,송파맛집,석촌맛집,잠실역,송파나루역,,,,,,,,,,,,,,,,,,,
52,Songpa Naru Station,0주,맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Songpa Naru Station,0주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,
54,Songpa Naru Station,0주,godeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Songpa Naru Station,0주,카레바시야,카레,카레맛집,잠실카레맛집,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,맛집탐방,맛집추천,저녁밥,저녁식사,주말혼밥,송리단길근처,,,,,,,,,,,
56,Songpa Naru Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Songpa Naru Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Songpa Naru Station,0주,rustic,kitchen,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Songpa Naru Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Songpa Naru Station,0주,병아리콩카레,새우크림카레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Songpa Naru Station,0주,카레바시야,카레,카레맛집,잠실카레맛집,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,맛집탐방,송파나루역맛집,저녁밥,저녁식사,주말혼밥,송리단길근처,,,,,,,,,,,,
62,Songpa Naru Station,1주,송리단길맛집,송리단길떡볶이,감성채널,떡볶이,떡볶이맛집,수제탕수육,탕수육,석촌호수맛집,송파나루역맛집,즉석떡볶이맛집,,,,,,,,,,,,,,,,,,,,,
63,Songpa Naru Station,1주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,
64,Songpa Naru Station,1주,방이동,방이먹자골목,동경레스펍태,송리단길술집,송리단길카페,석촌호수맛집,방이동맛집,방이먹자골목,잠실맛집,잠실카페,잠실새내맛집,천호맛집,송리단길카페,송리단길,송리단길맛집,방이동먹자골목맛집,방이동,방이동카페,방이동술집,석촌호수,방이먹자골목맛집,방이동먹자골목,방이술집,방이동카페,석촌동맛집,석촌역맛집,송파나루역맛집,,,,
65,Songpa Naru Station,1주,서울맛집,짬뽕지존,짬뽕,짜장면,탕수육,매운음식,맵스타그램,맛집,송파나루역맛집,맛집추천,팔로우,좋아요,follow,맛스타그램,먹스타그램,foodstagram,리뷰,추천,데일리,daily,instagood,인친,소통,먹방,,,,,,,
