,station,name,review,category,link
1198,Garak Market,퀴즈노스 가락점,42,샌드위치,https://store.naver.com/restaurants/detail?entry=ple&id=11870530&query=%ED%80%B4%EC%A6%88%EB%85%B8%EC%8A%A4%20%EA%B0%80%EB%9D%BD%EC%A0%90
1199,Garak Market,Born to be blue,41,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1350705871&query=Born%20to%20be%20blue
1200,Garak Market,다가마통닭,41,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=33874619&query=%EB%8B%A4%EA%B0%80%EB%A7%88%ED%86%B5%EB%8B%AD
1201,Garak Market,명품가 족발.보쌈,41,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1287814333&query=%EB%AA%85%ED%92%88%EA%B0%80%20%20%EC%A1%B1%EB%B0%9C.%EB%B3%B4%EC%8C%88
1202,Garak Market,카페위스크,41,카페,https://store.naver.com/restaurants/detail?entry=ple&id=1015430014&query=%EC%B9%B4%ED%8E%98%EC%9C%84%EC%8A%A4%ED%81%AC
1203,Garak Market,천미미,41,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=1446978307&query=%EC%B2%9C%EB%AF%B8%EB%AF%B8
1204,Garak Market,원가네칼국수,41,"칼국수,만두",https://store.naver.com/restaurants/detail?entry=ple&id=18560977&query=%EC%9B%90%EA%B0%80%EB%84%A4%EC%B9%BC%EA%B5%AD%EC%88%98
1205,Garak Market,횡성댁 가락본점,40,만두,https://store.naver.com/restaurants/detail?entry=ple&id=37275317&query=%ED%9A%A1%EC%84%B1%EB%8C%81%20%EA%B0%80%EB%9D%BD%EB%B3%B8%EC%A0%90
1206,Garak Market,심야식당추엌,40,이자카야,https://store.naver.com/restaurants/detail?entry=ple&id=1424825658&query=%EC%8B%AC%EC%95%BC%EC%8B%9D%EB%8B%B9%EC%B6%94%EC%97%8C
1207,Garak Market,탐앤탐스 문정로데오점,40,카페,https://store.naver.com/restaurants/detail?entry=ple&id=33021912&query=%ED%83%90%EC%95%A4%ED%83%90%EC%8A%A4%20%EB%AC%B8%EC%A0%95%EB%A1%9C%EB%8D%B0%EC%98%A4%EC%A0%90
1208,Garak Market,인생극장,40,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=19801316&query=%EC%9D%B8%EC%83%9D%EA%B7%B9%EC%9E%A5
1209,Garak Market,가락 골목냉면,40,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=37769135&query=%EA%B0%80%EB%9D%BD%20%EA%B3%A8%EB%AA%A9%EB%83%89%EB%A9%B4
1210,Garak Market,일방통행국물떡볶이화덕피자,39,종합분식,https://store.naver.com/restaurants/detail?entry=ple&id=973985973&query=%EC%9D%BC%EB%B0%A9%ED%86%B5%ED%96%89%EA%B5%AD%EB%AC%BC%EB%96%A1%EB%B3%B6%EC%9D%B4%ED%99%94%EB%8D%95%ED%94%BC%EC%9E%90
1211,Garak Market,한영상회,39,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=11686943&query=%ED%95%9C%EC%98%81%EC%83%81%ED%9A%8C
1212,Garak Market,오미야,38,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=1425011802&query=%EC%98%A4%EB%AF%B8%EC%95%BC
1213,Garak Market,밥향기,38,"백반,가정식",https://store.naver.com/restaurants/detail?entry=ple&id=1556204456&query=%EB%B0%A5%ED%96%A5%EA%B8%B0
