,station,name,category,review,link
29,Suraksan Station,수락산풍천장어,"해물,생선요리",160,https://store.naver.com/restaurants/detail?entry=ple&id=31336523&query=%EC%88%98%EB%9D%BD%EC%82%B0%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4
30,Suraksan Station,육회한연어 수락산역점,요리주점,154,https://store.naver.com/restaurants/detail?entry=ple&id=37309064&query=%EC%9C%A1%ED%9A%8C%ED%95%9C%EC%97%B0%EC%96%B4%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
31,Suraksan Station,수락이오냉면,냉면,142,https://store.naver.com/restaurants/detail?entry=ple&id=13164672&query=%EC%88%98%EB%9D%BD%EC%9D%B4%EC%98%A4%EB%83%89%EB%A9%B4
32,Suraksan Station,동대문엽기떡볶이 수락산점,분식,138,https://store.naver.com/restaurants/detail?entry=ple&id=33696185&query=%EB%8F%99%EB%8C%80%EB%AC%B8%EC%97%BD%EA%B8%B0%EB%96%A1%EB%B3%B6%EC%9D%B4%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
33,Suraksan Station,중원,중식당,129,https://store.naver.com/restaurants/detail?entry=ple&id=1178757277&query=%EC%A4%91%EC%9B%90
34,Suraksan Station,천하뼈다귀감자탕,감자탕,118,https://store.naver.com/restaurants/detail?entry=ple&id=11685791&query=%EC%B2%9C%ED%95%98%EB%BC%88%EB%8B%A4%EA%B7%80%EA%B0%90%EC%9E%90%ED%83%95
35,Suraksan Station,이어도생선구이,생선구이,113,https://store.naver.com/restaurants/detail?entry=ple&id=38322052&query=%EC%9D%B4%EC%96%B4%EB%8F%84%EC%83%9D%EC%84%A0%EA%B5%AC%EC%9D%B4
36,Suraksan Station,송재만참치 수락산역점,생선회,103,https://store.naver.com/restaurants/detail?entry=ple&id=13192666&query=%EC%86%A1%EC%9E%AC%EB%A7%8C%EC%B0%B8%EC%B9%98%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
37,Suraksan Station,태양부양꼬치 수락산점,양꼬치,100,https://store.naver.com/restaurants/detail?entry=ple&id=1494682608&query=%ED%83%9C%EC%96%91%EB%B6%80%EC%96%91%EA%BC%AC%EC%B9%98%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
38,Suraksan Station,교촌치킨 수락산역점,"치킨,닭강정",92,https://store.naver.com/restaurants/detail?entry=ple&id=36229807&query=%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
39,Suraksan Station,빛나는바다수락점,생선회,86,https://store.naver.com/restaurants/detail?entry=ple&id=13436123&query=%EB%B9%9B%EB%82%98%EB%8A%94%EB%B0%94%EB%8B%A4%EC%88%98%EB%9D%BD%EC%A0%90
40,Suraksan Station,야채곱창춘천집닭갈비,한식,81,https://store.naver.com/restaurants/detail?entry=ple&id=18065770&query=%EC%95%BC%EC%B1%84%EA%B3%B1%EC%B0%BD%EC%B6%98%EC%B2%9C%EC%A7%91%EB%8B%AD%EA%B0%88%EB%B9%84
41,Suraksan Station,청와정,돼지고기구이,80,https://store.naver.com/restaurants/detail?entry=ple&id=18032973&query=%EC%B2%AD%EC%99%80%EC%A0%95
42,Suraksan Station,본초불닭발 수락산점,닭발,76,https://store.naver.com/restaurants/detail?entry=ple&id=36170555&query=%EB%B3%B8%EC%B4%88%EB%B6%88%EB%8B%AD%EB%B0%9C%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
43,Suraksan Station,금강산 상계점,"육류,고기요리",74,https://store.naver.com/restaurants/detail?entry=ple&id=1285430582&query=%EA%B8%88%EA%B0%95%EC%82%B0%20%EC%83%81%EA%B3%84%EC%A0%90
44,Suraksan Station,북경짜장짬뽕전문점,중식당,66,https://store.naver.com/restaurants/detail?entry=ple&id=34354054&query=%EB%B6%81%EA%B2%BD%EC%A7%9C%EC%9E%A5%EC%A7%AC%EB%BD%95%EC%A0%84%EB%AC%B8%EC%A0%90
45,Suraksan Station,설빙 수락산역점,빙수,63,https://store.naver.com/restaurants/detail?entry=ple&id=36336881&query=%EC%84%A4%EB%B9%99%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
46,Suraksan Station,굽네치킨 수락점,"치킨,닭강정",63,https://store.naver.com/restaurants/detail?entry=ple&id=12807039&query=%EA%B5%BD%EB%84%A4%EC%B9%98%ED%82%A8%20%EC%88%98%EB%9D%BD%EC%A0%90
47,Suraksan Station,노원골제주흑돼지,돼지고기구이,62,https://store.naver.com/restaurants/detail?entry=ple&id=13348725&query=%EB%85%B8%EC%9B%90%EA%B3%A8%EC%A0%9C%EC%A3%BC%ED%9D%91%EB%8F%BC%EC%A7%80
48,Suraksan Station,장위동유성집 본점,소고기구이,57,https://store.naver.com/restaurants/detail?entry=ple&id=13018726&query=%EC%9E%A5%EC%9C%84%EB%8F%99%EC%9C%A0%EC%84%B1%EC%A7%91%20%EB%B3%B8%EC%A0%90
49,Suraksan Station,펑라이,중식당,56,https://store.naver.com/restaurants/detail?entry=ple&id=37540361&query=%ED%8E%91%EB%9D%BC%EC%9D%B4
50,Suraksan Station,쿠마키친,돈가스,54,https://store.naver.com/restaurants/detail?entry=ple&id=1612572766&query=%EC%BF%A0%EB%A7%88%ED%82%A4%EC%B9%9C
51,Suraksan Station,고향사골순대국,"순대,순댓국",53,https://store.naver.com/restaurants/detail?entry=ple&id=1109084194&query=%EA%B3%A0%ED%96%A5%EC%82%AC%EA%B3%A8%EC%88%9C%EB%8C%80%EA%B5%AD
52,Suraksan Station,원할머니보쌈족발 수락산점,"족발,보쌈",52,https://store.naver.com/restaurants/detail?entry=ple&id=32472888&query=%EC%9B%90%ED%95%A0%EB%A8%B8%EB%8B%88%EB%B3%B4%EC%8C%88%EC%A1%B1%EB%B0%9C%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
53,Suraksan Station,코코바이아,양식,52,https://store.naver.com/restaurants/detail?entry=ple&id=1669115153&query=%EC%BD%94%EC%BD%94%EB%B0%94%EC%9D%B4%EC%95%84
54,Suraksan Station,족발야시장 수락산점,"족발,보쌈",48,https://store.naver.com/restaurants/detail?entry=ple&id=1321974120&query=%EC%A1%B1%EB%B0%9C%EC%95%BC%EC%8B%9C%EC%9E%A5%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
55,Suraksan Station,채선당 수락산점,샤브샤브,48,https://store.naver.com/restaurants/detail?entry=ple&id=12039902&query=%EC%B1%84%EC%84%A0%EB%8B%B9%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
