,station,name,category,review,link
0,Cheongnyangni Station,애슐리W 롯데백화점 청량리점,패밀리레스토랑,690,https://store.naver.com/restaurants/detail?entry=ple&id=37374003&query=%EC%95%A0%EC%8A%90%EB%A6%ACW%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%A0%90
1,Cheongnyangni Station,로운 샤브샤브 청량리점,샤브샤브,380,https://store.naver.com/restaurants/detail?entry=ple&id=37379579&query=%EB%A1%9C%EC%9A%B4%20%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%A0%90
2,Cheongnyangni Station,광주식당,"찌개,전골",418,https://store.naver.com/restaurants/detail?entry=ple&id=11888236&query=%EA%B4%91%EC%A3%BC%EC%8B%9D%EB%8B%B9
3,Cheongnyangni Station,캘리포니아피자키친 청량리역사점,피자,236,https://store.naver.com/restaurants/detail?entry=ple&id=13542185&query=%EC%BA%98%EB%A6%AC%ED%8F%AC%EB%8B%88%EC%95%84%ED%94%BC%EC%9E%90%ED%82%A4%EC%B9%9C%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%97%AD%EC%82%AC%EC%A0%90
4,Cheongnyangni Station,팬스테이크키친 청량리직영,"스테이크,립",233,https://store.naver.com/restaurants/detail?entry=ple&id=38642747&query=%ED%8C%AC%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%82%A4%EC%B9%9C%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%A7%81%EC%98%81
5,Cheongnyangni Station,강원식당,감자탕,217,https://store.naver.com/restaurants/detail?entry=ple&id=13322650&query=%EA%B0%95%EC%9B%90%EC%8B%9D%EB%8B%B9
6,Cheongnyangni Station,홍능족발,"족발,보쌈",214,https://store.naver.com/restaurants/detail?entry=ple&id=18084512&query=%ED%99%8D%EB%8A%A5%EC%A1%B1%EB%B0%9C
7,Cheongnyangni Station,T.G.I.프라이데이스 청량리역점,패밀리레스토랑,207,https://store.naver.com/restaurants/detail?entry=ple&id=13490269&query=T.G.I.%ED%94%84%EB%9D%BC%EC%9D%B4%EB%8D%B0%EC%9D%B4%EC%8A%A4%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%97%AD%EC%A0%90
8,Cheongnyangni Station,장충족발,"족발,보쌈",201,https://store.naver.com/restaurants/detail?entry=ple&id=35708579&query=%EC%9E%A5%EC%B6%A9%EC%A1%B1%EB%B0%9C
9,Cheongnyangni Station,홍춘천치즈닭갈비 청량리역점,닭갈비,197,https://store.naver.com/restaurants/detail?entry=ple&id=1353645681&query=%ED%99%8D%EC%B6%98%EC%B2%9C%EC%B9%98%EC%A6%88%EB%8B%AD%EA%B0%88%EB%B9%84%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%97%AD%EC%A0%90
