,station,name,review,category,link
0,Banghwa Station,김순옥들내음,83,"칼국수,만두",https://store.naver.com/restaurants/detail?entry=ple&id=13025809&query=%EA%B9%80%EC%88%9C%EC%98%A5%EB%93%A4%EB%82%B4%EC%9D%8C
1,Banghwa Station,금스시,61,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=1676741880&query=%EA%B8%88%EC%8A%A4%EC%8B%9C
2,Banghwa Station,BBQ방화역점,24,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=11798903&query=BBQ%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
3,Banghwa Station,흥부찜닭 방화점,36,찜닭,https://store.naver.com/restaurants/detail?entry=ple&id=1378862586&query=%ED%9D%A5%EB%B6%80%EC%B0%9C%EB%8B%AD%20%EB%B0%A9%ED%99%94%EC%A0%90
4,Banghwa Station,쭈막,35,야식,https://store.naver.com/restaurants/detail?entry=ple&id=42537998&query=%EC%AD%88%EB%A7%89
5,Banghwa Station,해두리치킨 방화역점,31,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=36903155&query=%ED%95%B4%EB%91%90%EB%A6%AC%EC%B9%98%ED%82%A8%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
6,Banghwa Station,굽네치킨 방화역점,29,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=1701122863&query=%EA%B5%BD%EB%84%A4%EC%B9%98%ED%82%A8%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
7,Banghwa Station,동화마을 잔칫날,28,국수,https://store.naver.com/restaurants/detail?entry=ple&id=19882709&query=%EB%8F%99%ED%99%94%EB%A7%88%EC%9D%84%20%EC%9E%94%EC%B9%AB%EB%82%A0
8,Banghwa Station,서울양대창,27,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=31103377&query=%EC%84%9C%EC%9A%B8%EC%96%91%EB%8C%80%EC%B0%BD
9,Banghwa Station,설빙 서울방화점,26,빙수,https://store.naver.com/restaurants/detail?entry=ple&id=36655807&query=%EC%84%A4%EB%B9%99%20%EC%84%9C%EC%9A%B8%EB%B0%A9%ED%99%94%EC%A0%90
10,Banghwa Station,목카페,21,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=35150348&query=%EB%AA%A9%EC%B9%B4%ED%8E%98
11,Banghwa Station,조코제주똥돼지,20,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=18414113&query=%EC%A1%B0%EC%BD%94%EC%A0%9C%EC%A3%BC%EB%98%A5%EB%8F%BC%EC%A7%80
12,Banghwa Station,원조이모포장마차,18,포장마차,https://store.naver.com/restaurants/detail?entry=ple&id=20844359&query=%EC%9B%90%EC%A1%B0%EC%9D%B4%EB%AA%A8%ED%8F%AC%EC%9E%A5%EB%A7%88%EC%B0%A8
13,Banghwa Station,깃발냉면,18,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=195706022&query=%EA%B9%83%EB%B0%9C%EB%83%89%EB%A9%B4
14,Banghwa Station,베트남노상식당 방화역점,15,베트남음식,https://store.naver.com/restaurants/detail?entry=ple&id=1273875580&query=%EB%B2%A0%ED%8A%B8%EB%82%A8%EB%85%B8%EC%83%81%EC%8B%9D%EB%8B%B9%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
15,Banghwa Station,개화순두부,13,두부요리,https://store.naver.com/restaurants/detail?entry=ple&id=1984814629&query=%EA%B0%9C%ED%99%94%EC%88%9C%EB%91%90%EB%B6%80
16,Banghwa Station,배스킨라빈스 방화역,13,아이스크림,https://store.naver.com/restaurants/detail?entry=ple&id=20214572&query=%EB%B0%B0%EC%8A%A4%ED%82%A8%EB%9D%BC%EB%B9%88%EC%8A%A4%20%EB%B0%A9%ED%99%94%EC%97%AD
17,Banghwa Station,요거프레소 방화역점,12,카페,https://store.naver.com/restaurants/detail?entry=ple&id=35575247&query=%EC%9A%94%EA%B1%B0%ED%94%84%EB%A0%88%EC%86%8C%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
18,Banghwa Station,마시야,11,종합분식,https://store.naver.com/restaurants/detail?entry=ple&id=12865617&query=%EB%A7%88%EC%8B%9C%EC%95%BC
19,Banghwa Station,푸지스,11,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=1893471573&query=%ED%91%B8%EC%A7%80%EC%8A%A4
20,Banghwa Station,바다여행횟집,10,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=35184083&query=%EB%B0%94%EB%8B%A4%EC%97%AC%ED%96%89%ED%9A%9F%EC%A7%91
21,Banghwa Station,꼬메도르,10,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=35395171&query=%EA%BC%AC%EB%A9%94%EB%8F%84%EB%A5%B4
22,Banghwa Station,삼용맘의 퍼니케이크,9,케이크전문,https://store.naver.com/restaurants/detail?entry=ple&id=34745195&query=%EC%82%BC%EC%9A%A9%EB%A7%98%EC%9D%98%20%ED%8D%BC%EB%8B%88%EC%BC%80%EC%9D%B4%ED%81%AC
23,Banghwa Station,토라,9,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=1362909371&query=%ED%86%A0%EB%9D%BC
24,Banghwa Station,애막골,9,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=18414131&query=%EC%95%A0%EB%A7%89%EA%B3%A8
25,Banghwa Station,백채김치찌개 방화점,9,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=488199687&query=%EB%B0%B1%EC%B1%84%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C%20%EB%B0%A9%ED%99%94%EC%A0%90
26,Banghwa Station,사이공,8,샤브샤브,https://store.naver.com/restaurants/detail?entry=ple&id=38230030&query=%EC%82%AC%EC%9D%B4%EA%B3%B5
27,Banghwa Station,이윤성족요,8,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=1700571865&query=%EC%9D%B4%EC%9C%A4%EC%84%B1%EC%A1%B1%EC%9A%94
28,Banghwa Station,김둘레순대국,8,"순대,순댓국",https://store.naver.com/restaurants/detail?entry=ple&id=1503296332&query=%EA%B9%80%EB%91%98%EB%A0%88%EC%88%9C%EB%8C%80%EA%B5%AD
29,Banghwa Station,갈비탕이야기 방화역점,8,갈비탕,https://store.naver.com/restaurants/detail?entry=ple&id=828207138&query=%EA%B0%88%EB%B9%84%ED%83%95%EC%9D%B4%EC%95%BC%EA%B8%B0%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
30,Banghwa Station,활어회 마켓,7,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=1290536068&query=%ED%99%9C%EC%96%B4%ED%9A%8C%20%EB%A7%88%EC%BC%93
31,Banghwa Station,카페베네 방화역점,7,카페,https://store.naver.com/restaurants/detail?entry=ple&id=13403178&query=%EC%B9%B4%ED%8E%98%EB%B2%A0%EB%84%A4%20%EB%B0%A9%ED%99%94%EC%97%AD%EC%A0%90
32,Banghwa Station,문가네손칼국수,7,"칼국수,만두",https://store.naver.com/restaurants/detail?entry=ple&id=18950637&query=%EB%AC%B8%EA%B0%80%EB%84%A4%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98
