,station,name,review,category,link
2456,Anguk Station,여진곱,302,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=37441429&query=%EC%97%AC%EC%A7%84%EA%B3%B1
2457,Anguk Station,안국 153,295,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=38275858&query=%EC%95%88%EA%B5%AD%20153
2458,Anguk Station,마스터플랜,287,피자,https://store.naver.com/restaurants/detail?entry=ple&id=1807264985&query=%EB%A7%88%EC%8A%A4%ED%84%B0%ED%94%8C%EB%9E%9C
2459,Anguk Station,반한닥,280,"일식튀김,꼬치",https://store.naver.com/restaurants/detail?entry=ple&id=20391018&query=%EB%B0%98%ED%95%9C%EB%8B%A5
2460,Anguk Station,삼청동호떡,279,호떡,https://store.naver.com/restaurants/detail?entry=ple&id=32284171&query=%EC%82%BC%EC%B2%AD%EB%8F%99%ED%98%B8%EB%96%A1
2461,Anguk Station,밀도 익선동점,271,밀도,https://store.naver.com/restaurants/detail?entry=ple&id=1479808082&query=%EB%B0%80%EB%8F%84%20%EC%9D%B5%EC%84%A0%EB%8F%99%EC%A0%90
2462,Anguk Station,단상,269,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1906746984&query=%EB%8B%A8%EC%83%81
2463,Anguk Station,카페미러룸,261,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=37153486&query=%EC%B9%B4%ED%8E%98%EB%AF%B8%EB%9F%AC%EB%A3%B8
2464,Anguk Station,정선할매곤드레밥본점,258,한식,https://store.naver.com/restaurants/detail?entry=ple&id=37350584&query=%EC%A0%95%EC%84%A0%ED%95%A0%EB%A7%A4%EA%B3%A4%EB%93%9C%EB%A0%88%EB%B0%A5%EB%B3%B8%EC%A0%90
2465,Anguk Station,기와탭룸,256,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=37127034&query=%EA%B8%B0%EC%99%80%ED%83%AD%EB%A3%B8
2466,Anguk Station,블루보틀 삼청 한옥,253,블루보틀,https://store.naver.com/restaurants/detail?entry=ple&id=1285922861&query=%EB%B8%94%EB%A3%A8%EB%B3%B4%ED%8B%80%20%EC%82%BC%EC%B2%AD%20%ED%95%9C%EC%98%A5
2467,Anguk Station,비어셰프,248,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=733496196&query=%EB%B9%84%EC%96%B4%EC%85%B0%ED%94%84
2468,Anguk Station,몽중헌 안국점,241,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=13399101&query=%EB%AA%BD%EC%A4%91%ED%97%8C%20%EC%95%88%EA%B5%AD%EC%A0%90
2469,Anguk Station,관훈맨션,239,양식,https://store.naver.com/restaurants/detail?entry=ple&id=1641738497&query=%EA%B4%80%ED%9B%88%EB%A7%A8%EC%85%98
2470,Anguk Station,촌음식점,237,한식,https://store.naver.com/restaurants/detail?entry=ple&id=11723459&query=%EC%B4%8C%EC%9D%8C%EC%8B%9D%EC%A0%90
2471,Anguk Station,가배도 삼청,233,카페,https://store.naver.com/restaurants/detail?entry=ple&id=1151193613&query=%EA%B0%80%EB%B0%B0%EB%8F%84%20%EC%82%BC%EC%B2%AD
2472,Anguk Station,인사동 항아리수제비,227,"칼국수,만두",https://store.naver.com/restaurants/detail?entry=ple&id=11708579&query=%EC%9D%B8%EC%82%AC%EB%8F%99%20%ED%95%AD%EC%95%84%EB%A6%AC%EC%88%98%EC%A0%9C%EB%B9%84
2473,Anguk Station,오레노라멘 인사점,225,일본식라면,https://store.naver.com/restaurants/detail?entry=ple&id=1133826226&query=%EC%98%A4%EB%A0%88%EB%85%B8%EB%9D%BC%EB%A9%98%20%EC%9D%B8%EC%82%AC%EC%A0%90
2474,Anguk Station,안국고다,214,"곰탕,설렁탕",https://store.naver.com/restaurants/detail?entry=ple&id=1013346224&query=%EC%95%88%EA%B5%AD%EA%B3%A0%EB%8B%A4
