,station,name,category,review,url
27,Dongducheon Central Station,규수노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=18019768&query=%EA%B7%9C%EC%88%98%EB%85%B8%EB%9E%98%EB%B0%A9
28,Dongducheon Central Station,앵콜노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37480936&query=%EC%95%B5%EC%BD%9C%EB%85%B8%EB%9E%98%EB%B0%A9
29,Dongducheon Central Station,도토리노래방 지행점,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=11600626&query=%EB%8F%84%ED%86%A0%EB%A6%AC%EB%85%B8%EB%9E%98%EB%B0%A9%20%EC%A7%80%ED%96%89%EC%A0%90
30,Dongducheon Central Station,텐프로 노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1216495183&query=%ED%85%90%ED%94%84%EB%A1%9C%20%EB%85%B8%EB%9E%98%EC%9E%A5
31,Dongducheon Central Station,거성사운드,"영상,음향가전",[],https://store.naver.com/restaurants/detail?entry=ple&id=1262259468&query=%EA%B1%B0%EC%84%B1%EC%82%AC%EC%9A%B4%EB%93%9C
32,Dongducheon Central Station,열정노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1161383513&query=%EC%97%B4%EC%A0%95%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
33,Dongducheon Central Station,도쿄노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1964294908&query=%EB%8F%84%EC%BF%84%EB%85%B8%EB%9E%98%EC%9E%A5
34,Dongducheon Central Station,아지트코인노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=38548317&query=%EC%95%84%EC%A7%80%ED%8A%B8%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EB%B0%A9
35,Dongducheon Central Station,대하노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=38480670&query=%EB%8C%80%ED%95%98%EB%85%B8%EB%9E%98%EC%9E%A5
36,Dongducheon Central Station,루첸노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=36751819&query=%EB%A3%A8%EC%B2%B8%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
37,Dongducheon Central Station,채플린노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477717&query=%EC%B1%84%ED%94%8C%EB%A6%B0%EB%85%B8%EB%9E%98%EB%B0%A9
