,station,name,category,review,url
28,Uijeongbu Station,미래당구장,당구장,[],https://store.naver.com/restaurants/detail?entry=ple&id=1765152594&query=%EB%AF%B8%EB%9E%98%EB%8B%B9%EA%B5%AC%EC%9E%A5
29,Uijeongbu Station,YJ보드카페,보드카페,[],https://store.naver.com/restaurants/detail?entry=ple&id=1786092813&query=YJ%EB%B3%B4%EB%93%9C%EC%B9%B4%ED%8E%98
30,Changdong Station,콜코인노래방,노래방,1,https://store.naver.com/restaurants/detail?entry=ple&id=38008577&query=%EC%BD%9C%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EB%B0%A9
31,Nokcheon Station,더메이즈 노원,방탈출카페,467,https://store.naver.com/restaurants/detail?entry=ple&id=41395678&query=%EB%8D%94%EB%A9%94%EC%9D%B4%EC%A6%88%20%EB%85%B8%EC%9B%90
32,Nokcheon Station,더코드,방탈출카페,316,https://store.naver.com/restaurants/detail?entry=ple&id=37624250&query=%EB%8D%94%EC%BD%94%EB%93%9C
33,Nokcheon Station,아이존팝 노원점,오락실,80,https://store.naver.com/restaurants/detail?entry=ple&id=1149373194&query=%EC%95%84%EC%9D%B4%EC%A1%B4%ED%8C%9D%20%EB%85%B8%EC%9B%90%EC%A0%90
34,Nokcheon Station,셜록홈즈 노원점,방탈출카페,80,https://store.naver.com/restaurants/detail?entry=ple&id=1555122527&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%85%B8%EC%9B%90%EC%A0%90
35,Nokcheon Station,보드게임카페 홈즈앤루팡 노원점,보드카페,75,https://store.naver.com/restaurants/detail?entry=ple&id=1048316178&query=%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98%20%ED%99%88%EC%A6%88%EC%95%A4%EB%A3%A8%ED%8C%A1%20%EB%85%B8%EC%9B%90%EC%A0%90
36,Nokcheon Station,보드스토리 노원점,보드카페,59,https://store.naver.com/restaurants/detail?entry=ple&id=37721539&query=%EB%B3%B4%EB%93%9C%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EB%85%B8%EC%9B%90%EC%A0%90
37,Nokcheon Station,몬스터핸드 보드카페,보드카페,52,https://store.naver.com/restaurants/detail?entry=ple&id=1071779653&query=%EB%AA%AC%EC%8A%A4%ED%84%B0%ED%95%B8%EB%93%9C%20%EB%B3%B4%EB%93%9C%EC%B9%B4%ED%8E%98
38,Nokcheon Station,야사노 서울노원점,오락시설,44,https://store.naver.com/restaurants/detail?entry=ple&id=413923791&query=%EC%95%BC%EC%82%AC%EB%85%B8%20%EC%84%9C%EC%9A%B8%EB%85%B8%EC%9B%90%EC%A0%90
39,Nokcheon Station,루시오 보드게임카페,보드카페,27,https://store.naver.com/restaurants/detail?entry=ple&id=1138613284&query=%EB%A3%A8%EC%8B%9C%EC%98%A4%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
40,Nokcheon Station,룸인,룸카페,10,https://store.naver.com/restaurants/detail?entry=ple&id=36519902&query=%EB%A3%B8%EC%9D%B8
41,Nokcheon Station,콜코인노래방,노래방,1,https://store.naver.com/restaurants/detail?entry=ple&id=38008577&query=%EC%BD%9C%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EB%B0%A9
42,Nokcheon Station,시크릿룸카페,룸카페,[],https://store.naver.com/restaurants/detail?entry=ple&id=1704882525&query=%EC%8B%9C%ED%81%AC%EB%A6%BF%EB%A3%B8%EC%B9%B4%ED%8E%98
43,Nokcheon Station,룸보드카페,보드카페,[],https://store.naver.com/restaurants/detail?entry=ple&id=1637846257&query=%EB%A3%B8%EB%B3%B4%EB%93%9C%EC%B9%B4%ED%8E%98
44,Sinimun Station,다이스라떼 보드게임카페,보드카페,45,https://store.naver.com/restaurants/detail?entry=ple&id=36901241&query=%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%9D%BC%EB%96%BC%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
45,Sinimun Station,레이지클라우드,보드카페,18,https://store.naver.com/restaurants/detail?entry=ple&id=37625241&query=%EB%A0%88%EC%9D%B4%EC%A7%80%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C
46,Sinimun Station,더코드 회기점,방탈출카페,17,https://store.naver.com/restaurants/detail?entry=ple&id=1414415033&query=%EB%8D%94%EC%BD%94%EB%93%9C%20%ED%9A%8C%EA%B8%B0%EC%A0%90
47,Sinimun Station,더 벙커 보드게임카페,보드카페,13,https://store.naver.com/restaurants/detail?entry=ple&id=37634344&query=%EB%8D%94%20%EB%B2%99%EC%BB%A4%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
48,Sinimun Station,미플 보드게임,보드카페,9,https://store.naver.com/restaurants/detail?entry=ple&id=1963824838&query=%EB%AF%B8%ED%94%8C%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84
49,Sinimun Station,리코스타,노래방,2,https://store.naver.com/restaurants/detail?entry=ple&id=38510141&query=%EB%A6%AC%EC%BD%94%EC%8A%A4%ED%83%80
50,Hoegi Station,다이스라떼 보드게임카페,보드카페,45,https://store.naver.com/restaurants/detail?entry=ple&id=36901241&query=%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%9D%BC%EB%96%BC%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
51,Hoegi Station,더코드 회기점,방탈출카페,17,https://store.naver.com/restaurants/detail?entry=ple&id=1414415033&query=%EB%8D%94%EC%BD%94%EB%93%9C%20%ED%9A%8C%EA%B8%B0%EC%A0%90
52,Hoegi Station,더 벙커 보드게임카페,보드카페,13,https://store.naver.com/restaurants/detail?entry=ple&id=37634344&query=%EB%8D%94%20%EB%B2%99%EC%BB%A4%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
53,Hoegi Station,미플 보드게임,보드카페,9,https://store.naver.com/restaurants/detail?entry=ple&id=1963824838&query=%EB%AF%B8%ED%94%8C%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84
54,Hoegi Station,리코스타,노래방,2,https://store.naver.com/restaurants/detail?entry=ple&id=38510141&query=%EB%A6%AC%EC%BD%94%EC%8A%A4%ED%83%80
55,Cheongnyangni Station,다이스라떼 보드게임카페,보드카페,45,https://store.naver.com/restaurants/detail?entry=ple&id=36901241&query=%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%9D%BC%EB%96%BC%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98
56,Cheongnyangni Station,더코드 회기점,방탈출카페,17,https://store.naver.com/restaurants/detail?entry=ple&id=1414415033&query=%EB%8D%94%EC%BD%94%EB%93%9C%20%ED%9A%8C%EA%B8%B0%EC%A0%90
57,Cheongnyangni Station,미플 보드게임,보드카페,9,https://store.naver.com/restaurants/detail?entry=ple&id=1963824838&query=%EB%AF%B8%ED%94%8C%20%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84
58,Cheongnyangni Station,리코스타,노래방,2,https://store.naver.com/restaurants/detail?entry=ple&id=38510141&query=%EB%A6%AC%EC%BD%94%EC%8A%A4%ED%83%80
59,Jegi-dong Station,보드게임카페로직,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1105016080&query=%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98%EB%A1%9C%EC%A7%81
60,Jegi-dong Station,카페포트,보드카페,7,https://store.naver.com/restaurants/detail?entry=ple&id=80388054&query=%EC%B9%B4%ED%8E%98%ED%8F%AC%ED%8A%B8
61,Sinseol-dong Station,꼬꼬지보드게임,보드카페,52,https://store.naver.com/restaurants/detail?entry=ple&id=1784765209&query=%EA%BC%AC%EA%BC%AC%EC%A7%80%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84
62,Sinseol-dong Station,보드게임카페로직,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1105016080&query=%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98%EB%A1%9C%EC%A7%81
63,Sinseol-dong Station,카페포트,보드카페,7,https://store.naver.com/restaurants/detail?entry=ple&id=80388054&query=%EC%B9%B4%ED%8E%98%ED%8F%AC%ED%8A%B8
64,Dongmyo Station,룸 이에스씨,방탈출카페,"2,117",https://store.naver.com/restaurants/detail?entry=ple&id=37259688&query=%EB%A3%B8%20%EC%9D%B4%EC%97%90%EC%8A%A4%EC%94%A8
65,Dongmyo Station,키이스케이프 대학로점,방탈출카페,346,https://store.naver.com/restaurants/detail?entry=ple&id=37130987&query=%ED%82%A4%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
66,Dongmyo Station,티파니,룸카페,290,https://store.naver.com/restaurants/detail?entry=ple&id=33292267&query=%ED%8B%B0%ED%8C%8C%EB%8B%88
67,Dongmyo Station,지니어스 이스케이프,방탈출카페,77,https://store.naver.com/restaurants/detail?entry=ple&id=37558865&query=%EC%A7%80%EB%8B%88%EC%96%B4%EC%8A%A4%20%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84
68,Dongmyo Station,콩툰 동대문APM점,북카페,139,https://store.naver.com/restaurants/detail?entry=ple&id=209605723&query=%EC%BD%A9%ED%88%B0%20%EB%8F%99%EB%8C%80%EB%AC%B8APM%EC%A0%90
69,Dongmyo Station,에이아이 이스케이프,방탈출카페,74,https://store.naver.com/restaurants/detail?entry=ple&id=1200461412&query=%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4%20%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84
70,Dongmyo Station,월드오브보드게임 대학로점,보드카페,46,https://store.naver.com/restaurants/detail?entry=ple&id=82108407&query=%EC%9B%94%EB%93%9C%EC%98%A4%EB%B8%8C%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
71,Dongmyo Station,보드게임카페로직,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1105016080&query=%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98%EB%A1%9C%EC%A7%81
72,Dongmyo Station,긱스타 PC방,PC방,1,https://store.naver.com/restaurants/detail?entry=ple&id=1026389917&query=%EA%B8%B1%EC%8A%A4%ED%83%80%20PC%EB%B0%A9
73,Dongdaemun Station,룸 이에스씨,방탈출카페,"2,117",https://store.naver.com/restaurants/detail?entry=ple&id=37259688&query=%EB%A3%B8%20%EC%9D%B4%EC%97%90%EC%8A%A4%EC%94%A8
74,Dongdaemun Station,비트포비아 대학로,방탈출카페,523,https://store.naver.com/restaurants/detail?entry=ple&id=37663526&query=%EB%B9%84%ED%8A%B8%ED%8F%AC%EB%B9%84%EC%95%84%20%EB%8C%80%ED%95%99%EB%A1%9C
75,Dongdaemun Station,키이스케이프 대학로점,방탈출카페,346,https://store.naver.com/restaurants/detail?entry=ple&id=37130987&query=%ED%82%A4%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
76,Dongdaemun Station,더큐이스케이프 대학로점,방탈출카페,334,https://store.naver.com/restaurants/detail?entry=ple&id=37429906&query=%EB%8D%94%ED%81%90%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
77,Dongdaemun Station,티파니,룸카페,290,https://store.naver.com/restaurants/detail?entry=ple&id=33292267&query=%ED%8B%B0%ED%8C%8C%EB%8B%88
78,Dongdaemun Station,룸즈에이 대학로점,방탈출카페,242,https://store.naver.com/restaurants/detail?entry=ple&id=1954470905&query=%EB%A3%B8%EC%A6%88%EC%97%90%EC%9D%B4%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
79,Dongdaemun Station,셜록홈즈 대학로점,방탈출카페,199,https://store.naver.com/restaurants/detail?entry=ple&id=1907056844&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
80,Dongdaemun Station,지니어스 이스케이프,방탈출카페,77,https://store.naver.com/restaurants/detail?entry=ple&id=37558865&query=%EC%A7%80%EB%8B%88%EC%96%B4%EC%8A%A4%20%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84
81,Dongdaemun Station,콩툰 동대문APM점,북카페,139,https://store.naver.com/restaurants/detail?entry=ple&id=209605723&query=%EC%BD%A9%ED%88%B0%20%EB%8F%99%EB%8C%80%EB%AC%B8APM%EC%A0%90
82,Dongdaemun Station,월드오브보드게임 대학로점,보드카페,46,https://store.naver.com/restaurants/detail?entry=ple&id=82108407&query=%EC%9B%94%EB%93%9C%EC%98%A4%EB%B8%8C%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
83,Dongdaemun Station,콩툰 대학로점,북카페,25,https://store.naver.com/restaurants/detail?entry=ple&id=532014087&query=%EC%BD%A9%ED%88%B0%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
84,Dongdaemun Station,카페룸스룸스 대학로점,룸카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=13454733&query=%EC%B9%B4%ED%8E%98%EB%A3%B8%EC%8A%A4%EB%A3%B8%EC%8A%A4%20%EB%8C%80%ED%95%99%EB%A1%9C%EC%A0%90
85,Dongdaemun Station,긱스타 PC방,PC방,1,https://store.naver.com/restaurants/detail?entry=ple&id=1026389917&query=%EA%B8%B1%EC%8A%A4%ED%83%80%20PC%EB%B0%A9
86,Jongno 5-ga Station,룸 이에스씨,방탈출카페,"2,117",https://store.naver.com/restaurants/detail?entry=ple&id=37259688&query=%EB%A3%B8%20%EC%9D%B4%EC%97%90%EC%8A%A4%EC%94%A8
